회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
IBKS제6호스팩,264850,2017-06-01,신규상장,주권,금융 지원 서비스업,대한민국,IBK투자증권(주),100,"2,000","8,000,000",,"4,315,000"
미래에셋대우스팩1호,265480,2017-05-26,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권 주식회사,100,"2,000","8,000,000",기업인수합병,"4,840,000"
SGA임베디드,224880,2017-05-23,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,(주)상상인증권,500,-,-,임베디드 소프트웨어 및 하드웨어,"3,859,500"
넷마블게임즈,251270,2017-05-12,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,"엔에이치투자증권주식회사,제이피모간증권회사 서울지점",100,"157,000","2,661,717,084",온라인·모바일 게임 소프트웨어 개발 및 공급,"84,730,000"
아이엔지생명,079440,2017-05-11,신규상장,주권,보험업,대한민국,"삼성증권(주),모건스탠리 인터내셔날증권회사 서울지점","1,000","33,000","1,105,500,000",생명보험상품,"82,000,000"
에스와이제이,251540,2017-05-02,신규상장,주권,봉제의복 제조업,대한민국,아이비케이투자증권(주),500,-,-,"맨투맨 티셔츠, 아우터, 기타 그 외 의류","3,454,600"
엔에이치스팩10호,256630,2017-05-02,신규상장,주권,금융 지원 서비스업,대한민국,엔에이치투자증권주식회사,100,"2,000","13,000,000",기업인수합병,"7,000,000"
한화에이스스팩3호,264290,2017-05-02,신규상장,주권,금융 지원 서비스업,대한민국,한화투자증권(주),100,"2,000","5,500,000",기업인수합병,"3,080,000"
하나머티리얼즈,166090,2017-04-28,신규상장,주권,반도체 제조업,대한민국,"대신증권(주),엔에이치투자증권주식회사",500,"12,000","23,280,000","실리콘부품, 세라믹부품, 특수가스","9,459,737"
앙츠,267810,2017-04-28,신규상장,주권,컴퓨터 및 통신장비 수리업,대한민국,해당없음,"5,000",-,-,기술서비스,"154,700"
와이엠티,251370,2017-04-27,신규상장,주권,기초 화학물질 제조업,대한민국,하나증권주식회사,500,"21,000","11,815,167","PCB, 반도체 및 디스플레이 제조용 화학소재 등","3,602,600"
케이비제11호스팩,258790,2017-04-27,신규상장,주권,금융 지원 서비스업,대한민국,KB증권(주),100,"2,000","6,000,000",기업인수 및 합병,"3,210,000"
엠앤씨생명과학,225860,2017-04-25,신규상장,주권,기타 화학제품 제조업,대한민국,아이비케이투자증권(주),100,-,-,"무합성화장품, 건강기능식품","8,258,099"
플렉스파워에이더블유에스,266870,2017-04-24,신규상장,주권,생활용품 도매업,대한민국,아이비케이투자증권(주),500,-,-,플렉스파워 리커버리크림,"5,425,070"
신영스팩3호,263770,2017-04-06,신규상장,주권,금융 지원 서비스업,대한민국,신영증권(주),100,"2,000","5,000,000",기업인수,"2,605,000"
서진시스템,178320,2017-03-27,신규상장,주권,통신 및 방송 장비 제조업,대한민국,엔에이치투자증권주식회사,500,"25,000","35,750,000","통신장비부품,휴대폰부품(메탈케이스 등)","5,642,185"
코미코,183300,2017-03-23,신규상장,주권,특수 목적용 기계 제조업,대한민국,엔에이치투자증권주식회사,500,"13,000","32,500,000",반도체 부품 세정 및 코팅,"8,075,000"
