회사명,주요제품,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률
영림원소프트랩,"ERP Package, 유지 관리 등",53.0,13650.0,18.7,17750.0,54.3,14500.0,26.1,14200.0,23.5,12700.0,10.4
브랜드엑스코퍼레이션,"애슬레저의류, 생활/청결 용품",-0.8,7812.0,-10.0,9081.0,4.6,7412.0,-14.6,7311.0,-15.8,9047.0,4.2
미투젠,"캐주얼게임, 소셜카지노게임",7.8,25500.0,-5.6,30050.0,11.3,27500.0,1.9,24750.0,-8.3,21900.0,-18.9
셀레믹스,타겟캡처키트,24.5,25800.0,29.0,24300.0,21.5,28250.0,41.3,24350.0,21.8,19250.0,-3.8
아이디피,"카드인쇄용 프린터, 카드인쇄용 리본",34.7,6250.0,27.6,5100.0,4.1,4275.0,-12.8,4155.0,-15.2,4555.0,-7.0
카카오게임즈,"모바일, PC게임 퍼블리싱",100.0,62400.0,160.0,49150.0,104.8,49150.0,104.8,47950.0,99.8,82000.0,241.7
이오플로우,웨어러블 인슐린펌프,14.5,9534.0,5.3,21213.0,134.2,28888.0,218.9,31462.0,247.4,24502.0,170.5
압타머사이언스,압타머기반 신약개발 및 진단제품 개발,15.4,13875.0,11.0,10075.0,-19.4,12500.0,0.0,11450.0,-8.4,12600.0,0.8
핌스,OLED Metal Mask,10.5,18300.0,-3.7,15000.0,-21.1,15450.0,-18.7,16500.0,-13.2,28100.0,47.9
비비씨,덴탈 케어용 소재(테이퍼모 등),-9.9,22300.0,-27.4,18850.0,-38.6,18800.0,-38.8,19250.0,-37.3,17000.0,-44.6
박셀바이오,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)",-10.0,10650.0,-29.0,12300.0,-18.0,108050.0,620.3,123200.0,721.3,79000.0,426.7
원방테크,클린룸 설비,-9.9,14676.0,-19.5,14458.0,-20.7,16960.0,-7.0,15264.0,-16.3,20150.0,10.5
넥스틴,반도체 전공정용 패턴결함 검사장비(AEGIS 등),-5.7,23881.0,-5.0,26449.0,5.2,58368.0,132.1,78400.0,211.7,56100.0,123.1
피플바이오,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단),-10.0,11762.0,17.0,21789.0,116.7,30661.0,205.0,21563.0,114.5,14900.0,48.2
바이브컴퍼니,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)",42.9,15680.0,11.8,17684.0,26.1,17083.0,21.8,15755.0,12.3,18385.0,31.1
센코,"가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템",2.7,15250.0,17.3,27700.0,113.1,27450.0,111.2,21500.0,65.4,21400.0,64.6
위드텍,"AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS",48.4,20550.0,64.4,27400.0,119.2,27650.0,121.2,26750.0,114.0,19150.0,53.2
소룩스,"실내등(형광등, LED등), 실외등, 특수등",100.0,26000.0,160.0,24600.0,146.0,21000.0,110.0,19100.0,91.0,11750.0,17.5
교촌에프앤비,치킨 프랜차이즈,93.9,31000.0,152.0,21050.0,71.1,18950.0,54.1,19700.0,60.2,18050.0,46.7
네패스아크,반도체 테스트 서비스,36.6,38700.0,46.0,42950.0,62.1,53200.0,100.8,40200.0,51.7,49800.0,87.9
고바이오랩,마이크로바이옴 치료제 및 건강기능식품,100.0,31300.0,108.7,39300.0,162.0,42950.0,186.3,33650.0,124.3,24650.0,64.3
에이플러스에셋,보험대리 및 중개업,8.0,6880.0,-8.3,5740.0,-23.5,6550.0,-12.7,8650.0,15.3,10850.0,44.7
티앤엘,"창상치료재, 정형외과용 고정재",100.0,27000.0,50.0,22425.0,24.6,20450.0,13.6,27650.0,53.6,41900.0,132.8
하나기술,"이차전지 제조장비(조립공정장비 83.07%, PACK공정 장비 12.92% 등)",100.0,47104.0,160.0,49278.0,172.0,52746.0,191.1,61300.0,238.4,51700.0,185.4
엔에프씨,화장품 원료 제조 및 판매,54.5,16950.0,26.5,13700.0,2.2,15700.0,17.2,16300.0,21.6,13450.0,0.4
앱코,"게이밍기어, 뉴라이프가전 등",24.1,28900.0,18.9,27800.0,14.4,26900.0,10.7,22900.0,-5.8,15050.0,-38.1
포인트모바일,산업용 PDA,100.0,15523.0,103.7,28100.0,268.7,21697.0,184.7,21550.0,182.7,17450.0,128.9
클리노믹스,"Geno Series, CD-PRIME, Cancer Prime",0.0,19000.0,0.0,18200.0,0.0,12500.0,0.0,15550.0,0.0,11700.0,0.0
명신산업,자동차차체부품,100.0,16900.0,160.0,46300.0,612.3,25450.0,291.5,25550.0,293.1,27700.0,326.2
퀀타매트릭스,신속항균제검사 장비 및 키트,-1.8,24100.0,-5.5,26500.0,3.9,15000.0,-41.2,13400.0,-47.5,10850.0,-57.5
엔젠바이오,"유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",0.0,25650.0,0.0,26650.0,0.0,15350.0,0.0,20000.0,0.0,14700.0,0.0
인바이오,"살균제, 살충제, 제초제 등",100.0,12200.0,110.3,13450.0,131.9,12350.0,112.9,10950.0,88.8,6920.0,19.3
티엘비,SSD Module / DRAM Module PCB,99.7,27250.0,43.4,28550.0,50.3,21400.0,12.6,19850.0,4.5,19325.0,1.7
알체라,"얼굴인식 AI, 이상상황 감지 AI 등",100.0,20463.0,160.0,26326.0,234.5,28176.0,258.0,25106.0,219.0,25736.0,227.0
프리시젼바이오,체외진단 기기 및 시약,100.0,32500.0,160.0,26050.0,108.4,16000.0,28.0,16000.0,28.0,11900.0,-4.8
석경에이티,바이오 및 전기전자 나노 소재,100.0,26000.0,160.0,31850.0,218.5,21550.0,115.5,20200.0,102.0,19450.0,94.5
엔비티,모바일 포인트 광고 플랫폼,100.0,18250.0,92.1,11775.0,23.9,12775.0,34.5,13375.0,40.8,13725.0,44.5
선진뷰티사이언스,화장품 원료,100.0,14986.0,160.0,11026.0,91.3,10174.0,76.5,9573.0,66.1,6916.0,20.0
모비릭스,모바일 게임 개발 및 퍼블리싱,100.0,36400.0,160.0,20900.0,49.3,24150.0,72.5,20550.0,46.8,20600.0,47.1
핑거,"스마트 금융 플랫폼, 핀테크 금융 솔루션",0.0,29100.0,0.0,27250.0,0.0,21400.0,0.0,23000.0,0.0,21000.0,0.0
솔루엠,"POWER, 3in1 Board, ESL 등",100.0,29150.0,71.5,23000.0,35.3,24550.0,44.4,30450.0,79.1,22800.0,34.1
와이더플래닛,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,55.6,20000.0,25.0,24500.0,53.1,22000.0,37.5,25500.0,59.4,17150.0,7.2
레인보우로보틱스,"협동로봇, 천문마운트시스템, 이족보행로봇 등",100.0,26000.0,160.0,23550.0,135.5,24400.0,144.0,21950.0,119.5,23900.0,139.0
아이퀘스트,"패키지 ERP, 구축형 ERP 등",100.0,20000.0,81.8,14600.0,32.7,14350.0,30.5,13650.0,24.1,10650.0,-3.2
오로스테크놀로지,반도체 Overlay 계측 장비,100.0,54600.0,160.0,49550.0,136.0,34700.0,65.2,31650.0,50.7,24400.0,16.2
유일에너테크,2차전지 제조장비,100.0,34500.0,115.6,21750.0,35.9,19500.0,21.9,19650.0,22.8,20200.0,26.3
뷰노,"뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등",56.7,32150.0,53.1,26850.0,27.9,20350.0,-3.1,24000.0,14.3,9970.0,-52.5
나노씨엠에스,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체",65.0,23950.0,19.8,18200.0,-9.0,15400.0,-23.0,50500.0,152.5,45100.0,125.5
싸이버원,보안관제 및 보안컨설팅 등,0.0,21200.0,0.0,18200.0,0.0,16150.0,0.0,13800.0,0.0,12500.0,0.0
프레스티지바이오로직스,바이오시밀러 제조,-2.4,14300.0,15.3,12900.0,4.0,14150.0,14.1,14650.0,18.1,7290.0,-41.2
네오이뮨텍,면역항암제,100.0,14350.0,91.3,11850.0,58.0,11200.0,49.3,9540.0,27.2,7010.0,-6.5
바이오다인,액상세포검사 장비 및 소모품,33.3,42600.0,42.0,57100.0,90.3,45000.0,50.0,42100.0,40.3,28900.0,-3.7
SK바이오사이언스,백신 제품 및 제제,100.0,169000.0,160.0,135500.0,108.5,157000.0,141.5,308000.0,373.8,147000.0,126.2
라이프시맨틱스,"소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매",100.0,17500.0,40.0,13400.0,7.2,11900.0,-4.8,11700.0,-6.4,8290.0,-33.7
자이언트스텝,"광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작",100.0,13921.0,160.0,24192.0,351.8,23997.0,348.2,38259.0,614.6,44000.0,721.8
제노코,"위성탑재체, 위성운용국, 항공전자 등",80.6,26719.0,122.5,18680.0,55.6,15444.0,28.6,21582.0,79.7,25900.0,115.7
엔시스,2차전지 머신비전 검사장비,100.0,31400.0,65.3,24950.0,31.3,19650.0,3.4,23200.0,22.1,19600.0,3.2
해성티피씨,기어 및 동력전달장치,100.0,16900.0,160.0,10400.0,60.0,9600.0,47.7,10400.0,60.0,8550.0,31.5
이삭엔지니어링,공장자동화 설비제어,100.0,26150.0,127.4,17000.0,47.8,16600.0,44.3,12900.0,12.2,12100.0,5.2
쿠콘,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",77.8,52428.0,45.6,49707.0,38.0,52988.0,47.1,66515.0,84.7,51200.0,42.1
SK아이이테크놀로지,2차전지용 습식 분리막 및 폴더블 커버 윈도우,100.0,154500.0,47.1,143000.0,36.2,211000.0,101.0,155000.0,47.6,126000.0,20.0
에이치피오,"건강기능식품(유산균, 비타민 등)",0.0,16127.0,0.0,16368.0,0.0,18197.0,0.0,14153.0,0.0,12661.0,0.0
씨앤씨인터내셔널,색조 화장품,-0.5,27465.0,-13.4,30201.0,-4.7,27999.0,-11.7,22100.0,-30.3,23200.0,-26.8
샘씨엔에스,세라믹 STF(다층 세라믹 기판),-1.5,8320.0,28.0,6890.0,6.0,8760.0,34.8,6060.0,-6.8,6280.0,-3.4
삼영에스앤씨,"칩형 온습도센서, 상대습도센서, 미세먼지센서, 공기질 통합센서 노드 및 트랜스미터",100.0,28600.0,160.0,13950.0,26.8,17450.0,58.6,11900.0,8.2,8740.0,-20.5
제주맥주,맥주,49.4,4900.0,53.1,4365.0,36.4,3400.0,6.3,2745.0,-14.2,2490.0,-22.2
진시스템,분자진단기반 플랫폼 개발 및 제조·판매,-4.5,17400.0,-13.0,14950.0,-25.3,14650.0,-26.8,11050.0,-44.8,10250.0,-48.8
에이디엠코리아,임상 CRO 서비스,100.0,9880.0,160.0,6490.0,70.8,5840.0,53.7,4420.0,16.3,4135.0,8.8
이노뎁,영상인식 및 데이터플랫폼 솔루션,0.0,18050.0,0.0,15750.0,0.0,18750.0,0.0,25500.0,0.0,18050.0,0.0
아모센스,무선충전 차폐시트,-1.2,15900.0,28.2,13650.0,10.1,23700.0,91.1,16350.0,31.9,14850.0,19.8
오비고,스마트카 소프트웨어 플랫폼,34.3,20700.0,44.8,25400.0,77.6,15700.0,9.8,20800.0,45.5,10450.0,-26.9
에스디바이오센서,STANDARD Q 항원/항체 진단키트(COVID-19 진단키트),9.6,61000.0,17.3,61200.0,17.7,46250.0,-11.1,55700.0,7.1,44200.0,-15.0
큐라클,혈관질환치료제 등,46.0,30650.0,22.6,49750.0,99.0,39000.0,56.0,20100.0,-19.6,19200.0,-23.2
맥스트,AR 개발 플랫폼/AR솔루션,100.0,19070.0,160.0,32713.0,346.0,33349.0,354.7,26258.0,258.0,18700.0,155.0
카카오뱅크,은행 및 금융서비스,37.7,69800.0,79.0,80800.0,107.2,57200.0,46.7,41350.0,6.0,30050.0,-22.9
HK이노엔,"전문의약품, 숙취해소음료",15.4,68500.0,16.1,64100.0,8.6,51900.0,-12.0,41800.0,-29.2,43750.0,-25.8
크래프톤,등 게임 소프트웨어,-9.9,454000.0,-8.8,464500.0,-6.7,465500.0,-6.5,305000.0,-38.8,243000.0,-51.2
원티드랩,채용 플랫폼,100.0,45500.0,160.0,39400.0,125.1,39900.0,128.0,30750.0,75.7,25600.0,46.3
플래티어,E-Commerce Platform 구축,100.0,28600.0,160.0,26700.0,142.7,17900.0,62.7,17200.0,56.4,12900.0,17.3
딥노이드,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",71.4,25200.0,20.0,20125.0,-4.2,19775.0,-5.8,13800.0,-34.3,9040.0,-57.0
한컴라이프케어,"공기호흡기, 방독면, 보호복 등",17.2,12800.0,-6.6,10000.0,-27.0,7690.0,-43.9,7030.0,-48.7,5620.0,-59.0
브레인즈컴퍼니,IT 인프라 통합관리 솔루션,100.0,32756.0,160.0,17789.0,41.2,15521.0,23.2,12246.0,-2.8,9060.0,-28.1
롯데렌탈,"렌터카, 카셰어링(그린카), 중고차매매, 일반렌탈(측정기,OA, 리프트 등)",-2.5,55500.0,-5.9,46250.0,-21.6,39200.0,-33.6,32350.0,-45.2,38700.0,-34.4
아주스틸,"프리미엄 가전용 고품질 컬러강판, 건자재 등",100.0,33500.0,121.9,23050.0,52.6,18150.0,20.2,15800.0,4.6,11400.0,-24.5
바이젠셀,"면역세포치료제 (면역항암제, 면역조절치료제 등)",39.5,29812.0,12.9,21469.0,-18.7,17461.0,-33.9,12376.0,-53.1,9780.0,-63.0
일진하이솔루스,"수소승용용기, 매연저감장치 등",100.0,89100.0,159.8,68900.0,100.9,58100.0,69.4,40850.0,19.1,33450.0,-2.5
와이엠텍,계전기(EV Relay),100.0,29540.0,110.7,18250.0,30.2,18149.0,29.5,16072.0,14.6,20800.0,48.4
바이오플러스,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품",25.4,8121.0,3.0,6294.0,-20.2,6569.0,-16.7,6744.0,-14.5,8459.0,7.3
프롬바이오,개별인정형 건강기능식품,6.9,19850.0,10.3,14300.0,-20.6,10400.0,-42.2,9170.0,-49.1,7140.0,-60.3
실리콘투,화장품 유통,41.6,4833.0,6.6,3392.0,-25.2,3233.0,-28.7,2967.0,-34.5,2215.0,-51.1
원준,2차전지용 열처리 장비,56.9,29024.0,33.8,32594.0,50.3,33595.0,54.9,34863.0,60.8,23100.0,6.5
아스플로,"강관, 피팅, 밸브류 등",44.0,9454.0,13.4,8187.0,-1.8,7937.0,-4.8,7286.0,-12.6,7350.0,-11.8
씨유테크,"휴대폰, 전장 등 실장부품",100.0,8400.0,40.0,6880.0,14.7,7280.0,21.3,7890.0,31.5,4280.0,-28.7
케이카,오프라인 및 온라인 중고차 매매업,-10.0,23000.0,-8.0,25050.0,0.2,30700.0,22.8,33300.0,33.2,15050.0,-39.8
지아이텍,"SLOT DIE, SLIT NOZZLE, REPAIR, 기타",100.0,7280.0,160.0,5110.0,82.5,5230.0,86.8,3680.0,31.4,3240.0,15.7
차백신연구소,백신 및 면역증강제 등,6.4,13000.0,18.2,10150.0,-7.7,11000.0,0.0,7580.0,-31.1,4775.0,-56.6
아이패밀리에스씨,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`",14.6,12700.0,1.6,9875.0,-21.0,8725.0,-30.2,16700.0,33.6,9540.0,-23.7
리파인,권리조사,-10.0,14300.0,-31.9,16600.0,-21.0,13100.0,-37.6,13800.0,-34.3,7930.0,-62.2
엔켐,2차전지 전해액,94.3,80000.0,90.5,105900.0,152.1,103000.0,145.2,87000.0,107.1,72100.0,71.7
카카오페이,"간편결제, 간편송금 및 기타 금융서비스",100.0,193000.0,114.4,218000.0,142.2,137000.0,52.2,113500.0,26.1,35800.0,-60.2
피코그램,"정수기, 정수기 필터",100.0,3181.0,48.8,2335.0,9.2,2839.0,32.8,3173.0,48.4,7140.0,234.0
지니너스,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등",-10.0,4470.0,-33.0,4220.0,-36.7,3636.0,-45.5,3670.0,-45.0,2430.0,-63.6
디어유,"모바일 어플리케이션(DearU bubble, Lysn)",100.0,66500.0,155.8,70800.0,172.3,54300.0,108.8,45150.0,73.7,25900.0,-0.4
비트나인,"그래프데이터베이스, 그래프분석서비스",38.6,11400.0,3.6,13700.0,24.5,16700.0,51.8,14500.0,31.8,6730.0,-38.8
아이티아이즈,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)",100.0,20050.0,40.2,27650.0,93.4,17500.0,22.4,13400.0,-6.3,8700.0,-39.2
지오엘리먼트,"센서, 캐니스터",100.0,7968.0,59.0,22675.0,352.5,12277.0,145.0,11024.0,120.0,12202.0,143.5
트윔,AI 기반 스마트팩토리 검사 소프트웨어 및 설비,100.0,41100.0,86.8,30000.0,36.4,20200.0,-8.2,17350.0,-21.1,13800.0,-37.3
알비더블유,음반 및 음원 등(콘텐츠),100.0,38950.0,82.0,27950.0,30.6,19000.0,-11.2,17200.0,-19.6,12500.0,-41.6
오토앤,자동차 지급품 및 애프터마켓 제품,66.0,11400.0,115.1,15350.0,189.6,18500.0,249.1,11950.0,125.5,11200.0,111.3
케이옥션,미술품 경매 및 판매,100.0,17340.0,160.0,8170.0,22.5,9621.0,44.3,10300.0,54.4,4685.0,-29.8
LG에너지솔루션,"2차전지 (소형,ESS,자동차전지)",99.0,505000.0,68.3,412000.0,37.3,418000.0,39.3,391000.0,30.3,458000.0,52.7
이지트로닉스,전력변환장치,6.6,25500.0,15.9,17200.0,-21.8,20900.0,-5.0,14700.0,-33.2,10800.0,-50.9
스코넥,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등",100.0,24450.0,88.1,22050.0,69.6,16200.0,24.6,12700.0,-2.3,14250.0,9.6
아셈스,핫멜트 접착 필름,0.0,13500.0,0.0,11200.0,0.0,16100.0,0.0,15050.0,0.0,12310.0,0.0
나래나노텍,"디스플레이 장비 (포토, 코팅, 모듈 장비)",-10.0,13900.0,-20.6,12800.0,-26.9,12300.0,-29.7,9440.0,-46.1,7800.0,-55.4
퓨런티어,"전장카메라모듈장비, 모바일카메라모듈장비, PC및 광원",100.0,31200.0,108.0,20600.0,37.3,21900.0,46.0,26550.0,77.0,21350.0,42.3
브이씨,골프용 거리측정기,16.0,15350.0,2.3,12150.0,-19.0,12550.0,-16.3,10800.0,-28.0,7840.0,-47.7
스톤브릿지벤처스,"창업투자, 사모투자",-10.0,6510.0,-18.6,7020.0,-12.3,6670.0,-16.6,6100.0,-23.8,5550.0,-30.6
풍원정밀,OLED 증착용 Metal Mask,32.9,21450.0,41.1,17400.0,14.5,19000.0,25.0,17550.0,15.5,10260.0,-32.5
노을,융복합 체외진단 플랫폼,-3.3,9210.0,-7.9,7570.0,-24.3,6360.0,-36.4,6980.0,-30.2,7200.0,-28.0
비씨엔씨,반도체용 합성쿼츠 포커스링,100.0,22600.0,73.8,20150.0,55.0,20900.0,60.8,19250.0,48.1,16010.0,23.2
모아데이타,인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션,-10.0,2676.0,-19.8,2476.0,-25.7,2092.0,-37.3,2185.0,-34.5,5210.0,56.2
유일로보틱스,"취출로봇, 사출장비 및 자동화시스템",100.0,26000.0,160.0,23700.0,137.0,22250.0,122.5,29950.0,199.5,27700.0,177.0
공구우먼,플러스사이즈 여성용 의류 및 잡화,8.0,3337.0,0.0,6123.0,83.5,14683.0,340.0,9370.0,180.8,10100.0,202.7
세아메카닉스,"TV스탠드, 전기 수소차 부품 등",100.0,7600.0,72.7,6970.0,58.4,8480.0,92.7,7300.0,65.9,5230.0,18.9
지투파워,"수·배전반, 태양광발전시스템, 인버터(PCS)",100.0,7135.0,114.9,4433.0,33.5,7935.0,139.0,7560.0,127.7,9700.0,192.2
포바이포,광고영화 및 비디오물 제작업,100.0,44200.0,160.0,25450.0,49.7,23750.0,39.7,11200.0,-34.1,15150.0,-10.9
대명에너지,신재생에너지 발전 공사 및 용역,3.0,13950.0,-7.0,17650.0,17.7,18650.0,24.3,21550.0,43.7,0.0,0.0
가온칩스,설계 솔루션 및 주문형 반도체,72.5,27100.0,93.6,31000.0,121.4,27600.0,97.1,20350.0,45.4,0.0,0.0
청담글로벌,글로벌 화장품 유통,8.3,7640.0,27.3,11250.0,87.5,8660.0,44.3,8340.0,39.0,0.0,0.0
범한퓨얼셀,"잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축",2.5,47950.0,19.9,28650.0,-28.4,33400.0,-16.5,26400.0,-34.0,0.0,0.0
위니아에이드,"전자제품 소매, 물류주선, 서비스대행",-9.9,11000.0,-32.1,9720.0,-40.0,7570.0,-53.3,6960.0,-57.0,0.0,0.0
보로노이,표적치료제,0.0,29350.0,0.0,37700.0,0.0,30250.0,0.0,33400.0,0.0,0.0,0.0
레이저쎌,"에어리어 레이저솔루션, LSR, LCB, LSB, BSOM 등",28.8,17350.0,8.4,13250.0,-17.2,8360.0,-47.8,7230.0,-54.8,0.0,0.0
넥스트칩,"차량 및 자율주행차용 비메모리 반도체(ISP, AHD, ADAS/AD)",31.9,14300.0,10.0,12350.0,-5.0,13650.0,5.0,7670.0,-41.0,0.0,0.0
코난테크놀로지,"AI 기반 검색엔진(Konan Search), AI기반 영상인식 솔루션(D: Watcher)",41.2,30600.0,22.4,25850.0,3.4,25150.0,0.6,27350.0,9.4,0.0,0.0
HPSP,고압 수소 어닐링 장비,100.0,10813.0,73.0,14950.0,139.2,12850.0,105.6,13875.0,122.0,0.0,0.0
루닛,Lunit INSIGHT,2.7,40000.0,33.3,39300.0,31.0,20700.0,-31.0,32400.0,8.0,0.0,0.0
에이프릴바이오,항체의약품 및 재조합 단백질 의약품,21.9,21850.0,36.6,20400.0,27.5,11350.0,-29.1,17250.0,7.8,0.0,0.0
성일하이텍,"코발트, 니켈, 리튬 등",99.8,88200.0,76.4,115100.0,130.2,124700.0,149.4,96800.0,93.6,0.0,0.0
아이씨에이치,스마트기기용 필름형 안테나,-10.0,9004.0,-20.6,7987.0,-29.6,7287.0,-35.7,6750.0,-40.5,0.0,0.0
수산인더스트리,전력발전설비 정비 용역,-5.7,32500.0,-7.1,32450.0,-7.3,23100.0,-34.0,24850.0,-29.0,0.0,0.0
새빗켐,"폐전지재활용소재, 폐산재활용",100.0,72500.0,107.1,174200.0,397.7,119200.0,240.6,90100.0,157.4,0.0,0.0
에이치와이티씨,2차전지 장비 초정밀 부품,-2.0,15850.0,5.7,16000.0,6.7,12950.0,-13.7,9800.0,-34.7,0.0,0.0
대성하이텍,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터",0.0,14600.0,0.0,12100.0,0.0,9050.0,0.0,9400.0,0.0,0.0,0.0
쏘카,"카셰어링, 모빌리티 플랫폼 등",0.0,26300.0,-6.1,18550.0,-33.8,17550.0,-37.3,21000.0,-25.0,0.0,0.0
오픈엣지테크놀로지,시스템 반도체 IP,8.0,10050.0,0.5,9600.0,-4.0,9220.0,-7.8,23050.0,130.5,0.0,0.0
알피바이오,연질캡슐 제형의 의약품 및 건강기능식품,48.5,18300.0,40.8,11050.0,-15.0,13400.0,3.1,13300.0,2.3,0.0,0.0
더블유씨피,이차전지용 분리막,-10.0,41700.0,-30.5,49850.0,-16.9,43800.0,-27.0,43000.0,-28.3,0.0,0.0
이노룰스,"InnoRules, InnoProduct",5.2,15850.0,26.8,13150.0,5.2,9130.0,-27.0,12180.0,-2.6,0.0,0.0
모델솔루션,"하이엔드 프로토타입 제조, 다품종 소량생산 서비스",9.3,30900.0,14.4,22850.0,-15.4,17150.0,-36.5,26300.0,-2.6,0.0,0.0
오에스피,프리미엄 반려동물 사료,29.2,10050.0,19.6,6840.0,-18.6,5180.0,-38.3,7490.0,-10.8,0.0,0.0
에스비비테크,"베어링, 감속기",92.7,31050.0,150.4,24750.0,99.6,20250.0,63.3,64500.0,420.2,0.0,0.0
탑머티리얼,"이차전지 시스템 엔지니어링, 전극소재, 양극소재",0.0,37000.0,0.0,45450.0,0.0,32050.0,0.0,80000.0,0.0,0.0,0.0
샤페론,합성신약 및 항체치료제신약 기술제품 및 기술이전,80.0,8630.0,72.6,8070.0,61.4,7390.0,47.8,6150.0,23.0,0.0,0.0
핀텔,AI 영상 분석 솔루션 및 소프트웨어,71.9,10850.0,21.9,11050.0,24.2,7120.0,-20.0,7300.0,-18.0,0.0,0.0
플라즈맵,플라즈마 멸균기 및 표면처리기기,20.3,6700.0,-4.3,6860.0,-2.0,6150.0,-12.1,6150.0,-12.1,0.0,0.0
산돌,리테일 폰트 등,28.5,20850.0,10.9,14500.0,-22.9,13550.0,-27.9,13710.0,-27.1,0.0,0.0
저스템,반도체 습도제어 System,4.8,12400.0,18.1,8880.0,-15.4,9140.0,-13.0,17310.0,64.9,0.0,0.0
큐알티,반도체 신뢰성 검사 및 종합분석,-2.3,12801.0,-12.8,11550.0,-21.4,11630.0,-20.8,0.0,0.0,0.0,0.0
뉴로메카,"협동로봇, 협동로봇 자동화 플랫폼, 로봇제어기 등",43.5,21050.0,24.6,15850.0,-6.2,23200.0,37.3,0.0,0.0,0.0,0.0
제이아이테크,반도체 프리커서 및 쿼츠/블랭크/포토마스크용 케이스,-10.0,11900.0,-25.6,10450.0,-34.7,10870.0,-32.1,0.0,0.0,0.0,0.0
디티앤씨알오,비임상 및 임상시험 대체 용역,-7.6,6925.0,-18.5,5000.0,-41.2,5570.0,-34.5,0.0,0.0,0.0,0.0
윤성에프앤씨,2차전지용 믹싱시스템,-10.0,40450.0,-17.4,43300.0,-11.6,53600.0,9.4,0.0,0.0,0.0,0.0
